message,label
Your bank account has been suspended click this link to verify immediately,1
Congratulations you have won 2500000 rupees lottery send bank details to claim,1
Send your OTP immediately to confirm your transaction,1
Your ATM card will be blocked update KYC now using this link,1
Your package delivery failed pay 50 rupees to reschedule delivery,1
You have won a free iPhone click here to claim now,1
Your account has unusual activity verify your identity now,1
We noticed suspicious login click link to secure your account,1
Urgent your account will be closed unless you verify details now,1
You are selected for a cash reward claim immediately,1
Send your debit card number and CVV to process refund,1
Congratulations you won a free vacation send details now,1
Pay processing fee to receive your lottery prize,1
Your PAN card needs verification submit details now,1
Click here to update your bank information immediately,1
You received a refund send your account details,1
Limited offer claim your reward before midnight,1
You won a gift card click here to claim it now,1
Confirm your payment details immediately to avoid suspension,1
Your account has been compromised change password here,1
Hi are we meeting tomorrow at the office,0
Please send me the report by evening,0
Your order has been shipped successfully,0
Thank you for your payment your transaction is complete,0
Lunch meeting moved to 2 PM,0
Can you call me when you are free,0
The package will arrive tomorrow morning,0
Reminder your appointment is scheduled for tomorrow,0
Your electricity bill has been paid successfully,0
Please review the attached document,0
The meeting link is shared in the calendar,0
Let's catch up this weekend,0
Your cab has arrived at the pickup location,0
Your subscription renewal is confirmed,0
Dinner plans are confirmed for tonight,0
Please check the email I sent earlier,0
Project deadline is next Monday,0
The payment was received successfully,0
Your ticket booking is confirmed,0
Thank you for contacting customer support,0
Debit of INR 500 from A/C XXXX1234,0
Your OTP is 456789,0
Credit of INR 2000 received,0
Balance in your account is INR 15000,0
UPI payment successful,0
Your bank account has been suspended click this link to verify immediately,1
Congratulations you have won 2500000 rupees lottery send bank details to claim,1
Send your OTP immediately to confirm your transaction,1
Your ATM card will be blocked update KYC now using this link,1
Your package delivery failed pay 50 rupees to reschedule delivery,1
You have won a free iPhone click here to claim now,1
Your account has unusual activity verify your identity now,1
We noticed suspicious login click link to secure your account,1
Urgent your account will be closed unless you verify details now,1
You are selected for a cash reward claim immediately,1
Send your debit card number and CVV to process refund,1
Congratulations you won a free vacation send details now,1
Pay processing fee to receive your lottery prize,1
Click here to update your bank information immediately,1
Your account has been compromised change password here,1
Please send me the report by evening,0
Your order has been shipped successfully,0
Debit of INR 500 from A/C XXXX1234,0
Credit of INR 2000 received,0
Balance in your account is INR 15000,0
UPI payment successful,0
Thank you for your payment your transaction is complete,0
Your subscription renewal is confirmed,0
 Please check the email I sent earlier,0
You received a refund send your account details,1
Your PAN card needs verification submit details now,1
The meeting link is shared in the calendar,0
hii,0
good morning,0
