transaction_id,customer_id,amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,transaction_type,location,device,is_foreign,is_high_risk_country,is_fraud
T1000,C169,38967,45111,6144,16601,55568,CASH_OUT,UK,ATM,0,0,0
T1001,C485,31520,13384,0,29329,60849,CASH_IN,UK,Mobile,1,0,0
T1002,C490,46516,1583,0,7431,53947,PAYMENT,Russia,Mobile,0,0,0
T1003,C134,14254,35857,21603,39501,53755,TRANSFER,India,ATM,0,0,0
T1004,C402,2593,21146,18553,12015,14608,TRANSFER,UK,Laptop,1,0,0
T1005,C205,39468,30869,0,45938,85406,CASH_IN,Nigeria,ATM,0,0,0
T1006,C445,31785,12356,0,39185,70970,CASH_OUT,India,Laptop,1,1,1
T1007,C182,20191,10468,0,1691,21882,PAYMENT,Russia,Tablet,1,0,0
T1008,C80,21694,35086,13392,48943,70637,TRANSFER,China,Mobile,1,0,0
T1009,C439,27045,32170,5125,5157,32202,TRANSFER,China,Laptop,1,1,1
T1010,C350,20258,14647,0,28085,48343,PAYMENT,Russia,Laptop,0,1,0
T1011,C5,41478,32625,0,3328,44806,CASH_IN,China,Laptop,1,1,1
T1012,C152,40564,27589,0,34036,74600,PAYMENT,USA,ATM,1,0,0
T1013,C480,10863,24526,13663,40011,50874,CASH_OUT,UK,ATM,0,1,0
T1014,C274,38202,41312,3110,9420,47622,CASH_OUT,UK,Tablet,0,1,0
T1015,C324,37501,26187,0,39887,77388,TRANSFER,Nigeria,Laptop,0,1,0
T1016,C103,40763,37587,0,27237,68000,CASH_IN,China,Mobile,0,0,0
T1017,C241,20970,26959,5989,30823,51793,PAYMENT,China,Laptop,0,1,0
T1018,C457,22391,23836,1445,10556,32947,CASH_IN,Russia,Laptop,1,0,0
T1019,C413,233,44265,44032,3284,3517,TRANSFER,Russia,Mobile,1,0,0
T1020,C471,35424,18280,0,12480,47904,TRANSFER,China,Tablet,0,1,0
T1021,C444,24649,35704,11055,1665,26314,CASH_IN,Nigeria,Mobile,1,0,0
T1022,C295,8037,43929,35892,43938,51975,CASH_IN,Nigeria,ATM,1,0,0
T1023,C73,23868,35810,11942,36299,60167,PAYMENT,Russia,Tablet,1,1,1
T1024,C408,18527,8616,0,17741,36268,PAYMENT,USA,Mobile,0,0,0
T1025,C270,40798,43358,2560,43530,84328,CASH_IN,India,Laptop,0,0,0
T1026,C259,7485,9439,1954,28461,35946,TRANSFER,China,Laptop,1,0,0
T1027,C213,10996,49323,38327,12710,23706,TRANSFER,Nigeria,ATM,0,1,0
T1028,C342,28950,2988,0,30154,59104,TRANSFER,USA,Laptop,1,0,0
T1029,C10,18518,43171,24653,36337,54855,CASH_IN,UK,ATM,0,0,0
T1030,C268,43316,39619,0,32550,75866,CASH_OUT,China,Tablet,1,0,0
T1031,C70,12235,41578,29343,36375,48610,CASH_IN,UK,Laptop,0,1,0
T1032,C15,30499,1961,0,5743,36242,TRANSFER,UK,Laptop,0,1,0
T1033,C270,1344,46680,45336,7191,8535,PAYMENT,UK,Laptop,0,0,0
T1034,C411,28760,31296,2536,18468,47228,CASH_OUT,USA,Laptop,1,1,1
T1035,C258,31359,32259,900,46141,77500,TRANSFER,India,Tablet,1,1,1
T1036,C86,47077,48816,1739,48829,95906,CASH_OUT,China,ATM,1,1,1
T1037,C230,6188,43135,36947,34401,40589,CASH_OUT,Russia,ATM,0,1,0
T1038,C91,15323,7638,0,45410,60733,PAYMENT,UK,Mobile,1,1,1
T1039,C22,30632,10824,0,33608,64240,PAYMENT,UK,Mobile,1,0,0
T1040,C267,3825,30303,26478,25348,29173,CASH_OUT,China,Laptop,0,0,0
T1041,C257,32064,28692,0,15676,47740,CASH_IN,Nigeria,ATM,1,1,1
T1042,C95,41889,10844,0,30558,72447,PAYMENT,UK,Laptop,1,1,1
T1043,C5,49200,8619,0,4782,53982,CASH_IN,Russia,Mobile,0,1,0
T1044,C309,19196,21386,2190,33190,52386,CASH_IN,USA,Tablet,0,1,0
T1045,C474,24044,38715,14671,12492,36536,CASH_OUT,UK,ATM,1,0,0
T1046,C355,16095,14921,0,38052,54147,CASH_OUT,India,ATM,0,0,0
T1047,C12,19232,8102,0,32757,51989,CASH_OUT,Nigeria,ATM,1,0,0
T1048,C49,39488,11373,0,45890,85378,CASH_OUT,Russia,Laptop,0,0,0
T1049,C210,24343,17340,0,16178,40521,CASH_IN,UK,Laptop,0,0,0
T1050,C219,2774,23709,20935,40110,42884,PAYMENT,Nigeria,Tablet,1,0,0
T1051,C434,39258,1644,0,13611,52869,CASH_IN,UK,Tablet,1,0,0
T1052,C114,25179,30535,5356,42585,67764,PAYMENT,UK,Laptop,1,1,1
T1053,C451,3124,10169,7045,14622,17746,TRANSFER,USA,Laptop,1,1,0
T1054,C338,6950,1806,0,43358,50308,TRANSFER,USA,ATM,0,1,0
T1055,C6,11279,1150,0,25763,37042,PAYMENT,UK,ATM,1,0,0
T1056,C328,47206,2094,0,13869,61075,CASH_IN,UK,ATM,0,0,0
T1057,C157,25531,36853,11322,35634,61165,CASH_IN,Nigeria,Mobile,1,0,0
T1058,C477,9565,32404,22839,41980,51545,TRANSFER,Nigeria,Mobile,0,1,0
T1059,C218,36110,40486,4376,33896,70006,PAYMENT,Russia,ATM,0,1,0
T1060,C143,32726,26294,0,6333,39059,CASH_OUT,UK,Mobile,1,1,1
T1061,C373,3525,17284,13759,2909,6434,CASH_IN,USA,Mobile,0,0,0
T1062,C444,23056,14257,0,42974,66030,TRANSFER,Nigeria,Tablet,0,1,0
T1063,C413,22231,2057,0,10791,33022,PAYMENT,UK,Tablet,0,1,0
T1064,C337,14332,2756,0,6289,20621,CASH_OUT,UK,Laptop,0,0,0
T1065,C14,18381,13629,0,10988,29369,TRANSFER,India,Tablet,0,0,0
T1066,C489,21729,21779,50,35219,56948,CASH_OUT,Nigeria,Mobile,0,0,0
T1067,C354,25212,18072,0,20362,45574,PAYMENT,India,Laptop,1,0,0
T1068,C255,26281,28851,2570,10507,36788,PAYMENT,Russia,ATM,0,1,0
T1069,C477,14200,38578,24378,6125,20325,CASH_IN,UK,Mobile,1,0,0
T1070,C48,46840,12967,0,44613,91453,CASH_IN,Nigeria,ATM,1,1,1
T1071,C428,11275,5961,0,13502,24777,PAYMENT,Russia,Laptop,0,1,0
T1072,C416,19273,12036,0,31810,51083,CASH_OUT,China,Mobile,0,0,0
T1073,C181,13909,21574,7665,35422,49331,TRANSFER,UK,ATM,1,0,0
T1074,C18,13227,18225,4998,31573,44800,PAYMENT,USA,Mobile,1,0,0
T1075,C445,28922,36505,7583,34018,62940,PAYMENT,Russia,Laptop,1,1,1
T1076,C289,25400,47479,22079,8794,34194,TRANSFER,UK,Mobile,1,1,1
T1077,C113,17221,23661,6440,24793,42014,CASH_IN,India,Laptop,0,0,0
T1078,C129,8972,25432,16460,39010,47982,TRANSFER,UK,ATM,1,1,0
T1079,C126,16093,46601,30508,48034,64127,CASH_OUT,UK,ATM,0,1,0
T1080,C189,20250,19095,0,44633,64883,CASH_OUT,Nigeria,Tablet,0,0,0
T1081,C138,17432,30931,13499,22482,39914,TRANSFER,China,Laptop,1,1,1
T1082,C383,14595,19086,4491,17194,31789,CASH_OUT,China,ATM,0,0,0
T1083,C447,9083,45300,36217,41794,50877,PAYMENT,UK,Tablet,0,1,0
T1084,C117,11057,36777,25720,43764,54821,TRANSFER,China,Laptop,0,1,0
T1085,C340,6360,47884,41524,7226,13586,TRANSFER,China,Tablet,1,1,0
T1086,C232,4392,35288,30896,13797,18189,TRANSFER,Russia,Tablet,1,1,0
T1087,C168,37986,9422,0,11750,49736,CASH_OUT,Russia,ATM,0,0,0
T1088,C308,29769,42059,12290,24028,53797,TRANSFER,India,ATM,1,0,0
T1089,C117,19258,12432,0,47390,66648,PAYMENT,Russia,Tablet,0,1,0
T1090,C112,2143,16486,14343,4262,6405,TRANSFER,China,Tablet,1,0,0
T1091,C412,32812,44446,11634,35090,67902,CASH_IN,UK,Tablet,0,1,0
T1092,C399,3753,44914,41161,36106,39859,TRANSFER,USA,Tablet,0,1,0
T1093,C398,20641,29281,8640,13301,33942,TRANSFER,UK,ATM,1,1,1
T1094,C236,3274,30700,27426,17099,20373,TRANSFER,UK,ATM,1,1,0
T1095,C437,3390,24856,21466,34056,37446,TRANSFER,India,ATM,0,1,0
T1096,C177,43661,27970,0,8576,52237,PAYMENT,Nigeria,ATM,0,1,0
T1097,C38,33519,19890,0,32166,65685,CASH_IN,Nigeria,Tablet,1,1,1
T1098,C324,8864,8245,0,42662,51526,CASH_IN,China,Tablet,1,0,0
T1099,C336,23932,7291,0,11416,35348,CASH_OUT,India,Laptop,0,0,0
T1100,C444,14294,44728,30434,9798,24092,CASH_IN,Russia,Tablet,1,1,1
T1101,C497,45882,29072,0,31756,77638,PAYMENT,UK,Mobile,0,0,0
T1102,C49,40383,19960,0,39161,79544,PAYMENT,India,Laptop,0,0,0
T1103,C388,48532,22396,0,4456,52988,CASH_OUT,Russia,Tablet,1,0,0
T1104,C258,7511,6884,0,2391,9902,CASH_OUT,India,Mobile,1,0,0
T1105,C357,6695,10767,4072,4339,11034,TRANSFER,China,Mobile,1,0,0
T1106,C64,48965,31371,0,6849,55814,CASH_OUT,China,Mobile,1,0,0
T1107,C421,35308,24757,0,26412,61720,CASH_IN,USA,Laptop,0,1,0
T1108,C434,17704,1013,0,29265,46969,CASH_IN,Nigeria,ATM,0,0,0
T1109,C396,16300,32776,16476,45834,62134,CASH_OUT,Nigeria,ATM,1,0,0
T1110,C152,39792,48313,8521,40536,80328,TRANSFER,UK,Mobile,0,0,0
T1111,C21,48437,8313,0,47201,95638,CASH_IN,UK,Mobile,0,0,0
T1112,C160,38101,27146,0,44137,82238,TRANSFER,UK,ATM,1,1,1
T1113,C418,29100,18167,0,6764,35864,CASH_OUT,Russia,Mobile,0,0,0
